"Department","Category","Subcategory","Item"
"","Madhusthali",,"COLLEGE (M.V)"
"","File and Folder",,"COLLEGE FILE"
"Maintenance Dept.","House Keeping","Cleaning","COLLIN"
"Store Dept.","Decoration","General","COLOUR 3D (WHITE)"
"","Office Stationery",,"COLOUR BOOK SMALL"
"Store Dept.","Printing & Stationary","Colours","COLOUR BRUSH"
"Store Dept.","Stationary","Saleable","COLOUR BRUSH (PAINTING)"
"Store Dept.","Printing & Stationary","Colours","COLOUR BRUSH FLAT 2''"
"Store Dept.","Printing & Stationary","Colours","COLOUR BRUSH FLAT 3''"
"","Madhusthali",,"COLOUR BRUSH M.V."
"","Office Stationery",,"COLOUR BRUSH ROUND"
"Store Dept.","Dress & Cloth","Caps","COLOUR CAP"
"Maintenance Dept.","House Keeping","Bedsheets","COLOUR CHADAR"
"Store Dept.","Printing & Stationary","Office Stationeries","COLOUR DUSTLESS CHALK"
"","Office Stationery",,"COLOUR FEBRIC"
"Store Dept.","Flag and Banner","General","COLOUR FLAG (BIG)"
"Store Dept.","Flag and Banner","Houses","COLOUR FLAG (SMALL)"
"Store Dept.","Printing & Stationary","Colours","COLOUR FOR BLOCK PRINT"
"Store Dept.","Printing & Stationary","Paper","COLOUR LEDGER JET PRINT PAPER (GREEN)"
"Store Dept.","Printing & Stationary","Paper","COLOUR LEDGER JET PRINT PAPER (PINK)"
"Store Dept.","Madhusthali","Madhusthali items","COLOUR M.V."
"Store Dept.","Printing & Stationary","Paper","COLOUR PAPER 1/2 CUTTING (GREEN)"
"Store Dept.","Printing & Stationary","Paper","COLOUR PAPER 1/2 CUTTING (YELLOW)"
"","Decoration",,"COLOUR SAND"
"Store Dept.","Printing & Stationary","Pens","COLOUR SKETCH PEN (THICK)"
"Store Dept.","Printing & Stationary","Pens","COLOUR SKETCH PEN (THIN)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE 1"" (BLACK)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE 1"" (BLUE)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE 1"" (GREEN)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE 1"" (RED)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE 1"" (YELLOW)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE BIG 1/2"" (BLACK)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE BIG 1/2"" (BLUE)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE BIG 1/2"" (GREEN)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE BIG 1/2"" (RED)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE BIG 1/2"" (YELLOW)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE SMALL 1/2"" (BLACK)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE SMALL 1/2"" (BLUE)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE SMALL 1/2"" (GREEN)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE SMALL 1/2"" (RED)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE SMALL 1/2"" (WHITE)"
"Store Dept.","Printing & Stationary","Tapes","COLOUR TAPE SMALL 1/2"" (YELLOW)"
"Maintenance Dept.","Plumbing","Commod","COMMOD COVER"
"Maintenance Dept.","Plumbing","Commod","COMMOD FLASH BAND"
"Store Dept.","Stationary","Saleable","COMPILED COPY"
"","Gift",,"COMPUTER MOUSE PAD"
"","Gift",,"CONSULATION PRIZE (DIFE.)"
"Store Dept.","Madhusthali","Madhusthali items","CONVEYANCE MEMO (COLLEGE)"
"","Equipment",,"CORDLESS PHONE"
"Store Dept.","Decoration","General","COTTON  ROLL"
"Store Dept.","Decoration","General","COTTON BALLS"
"Store Dept.","Flag and Banner","General","COTTON INDIAN FLAG (BIG)"
"","Accessories",,"COTTON ROLL"
"Store Dept.","Printing & Stationary","Classrooms","COUNTING FIREMEN (PLAY)"
"Store Dept.","Printing & Stationary","Office Stationeries","COUPON (FATE)"
"Store Dept.","Printing & Stationary","Files & Folders","COVER FILE"
"Store Dept.","House Keeping","Cleaning","COVER OF WATER CONTAINER"
"Maintenance Dept.","Plumbing","Bib Cocks","CP ANGULAR STOP COCK"
"Maintenance Dept.","Plumbing","Bib Cocks","CP BIB COCK"
"Maintenance Dept.","Plumbing","CP'S","CP JHANJARI"
"Maintenance Dept.","Plumbing","CP'S","CP WASTE (H.T)"
"Maintenance Dept.","Electrical","Boxes","Crabtee PVC Modular Box (6MM)"
"","Office Stationery",,"CRAPE PAPER"
"Store Dept.","Printing & Stationary","Office Stationeries","CREDIT VOUCHER"
"Store Dept.","Madhusthali","Madhusthali items","CREDIT VOUCHER (COLLEGE)"
"","Gift",,"CRISTAL LOUTUS"
"Store Dept.","Decoration","General","CROWN"
"Store Dept.","Food & Beverage","Staff welfare","CUP"
"Store Dept.","Food & Beverage","Staff welfare","CUP (POPCON)"
"Store Dept.","Food & Beverage","Staff welfare","CUP (SOUP)"
"Store Dept.","House Keeping","General","CURTEN RING"
"","Accessories",,"CUSHION COVER FOR PRINCIPAL"
"Maintenance Dept.","Plumbing","Washers","Cyphoon Washer"
"","Office Stationery",,"DAMI PAPER"
"Store Dept.","Printing & Stationary","Office Stationeries","DAMPER (WATER PAD)"
"Store Dept.","Printing & Stationary","Admissions","DAMY PAPER"
"Store Dept.","Uniform","Activity","DANCE SIZE 26'"
"Store Dept.","Uniform","Activity","DANCE SIZE 28'"
"Store Dept.","Uniform","Activity","DANCE SIZE 30"
"","Uniform",,"DANCE SIZE 32'"
"Store Dept.","Uniform","Activity","DANCE SIZE 32'"
"Store Dept.","Uniform","Activity","DANCE SIZE 34'"
"Store Dept.","Uniform","Activity","DANCE SIZE 36'"
"Store Dept.","Uniform","Activity","DANCE SIZE 38'"
"Store Dept.","Uniform","Activity","DANCE SIZE 40'"
"Store Dept.","Uniform","Activity","DANCE SIZE 42'"
"Store Dept.","Decoration","General","DANDIA (Damage - 1)"
"","Gift",,"DARJEELING TEA"
"","Electrical",,"DB BOX(4 WAY)"
"Store Dept.","Madhusthali","Madhusthali items","DEBIT / CREDIT VOUCHER"
"Store Dept.","Printing & Stationary","Office Stationeries","DEBIT VOUCHER"
"Store Dept.","Madhusthali","Madhusthali items","DEBIT VOUCHER (COLLEGE)"
"Store Dept.","Decoration","General","DECORETION ITEMS (BUTI)"
"Store Dept.","Printing & Stationary","Office Stationeries","DENDRITE"
"","Gift",,"DESKTOP ACCESSORY SET"
"Store Dept.","House Keeping","General","DETTOL HAND WASH"
"Maintenance Dept.","House Keeping","Cleaning","DETTOL HANDWASH"
"Store Dept.","House Keeping","General","DETTOL HANDWASH (SMALL)"
"Store Dept.","Printing & Stationary","Office Stationeries","DETTOL SOAP"
"Store Dept.","Accessories","General","DHUTI"
"Store Dept.","Madhusthali","Madhusthali items","DIARY (2015 - 2016)"
"Store Dept.","Madhusthali","Madhusthali items","DIARY (MADHUSTHALI)(2013-14)"
"Store Dept.","Gift","General","DINEER SET"
"","Gift",,"Dinner Set"
"Store Dept.","Printing & Stationary","Office Stationeries","DISPLAY BOOK FILE (BIG)"
"Store Dept.","Printing & Stationary","Office Stationeries","DISPLAY BOOK FILE (SMALL)"
"Store Dept.","Accessories","General","DIYA STAND"
"Store Dept.","Accessories","General","DIYA TYPE CANDLE (SMALL)"
"Maintenance Dept.","Electrical","Tubelight","DL Complit with chock 2x26 wt"
"","Decoration",,"DOLL"
"","Decoration",,"DOLLY PAPER"
"Store Dept.","Printing & Stationary","Pens","DOUBLE SIDE PEN"
"Store Dept.","Printing & Stationary","Tapes","DOUBLE SIDED TAPE"
"Store Dept.","Printing & Stationary","Colours","DRAWING COLOUR INK (GREEN)"
"Store Dept.","Stationary","Saleable","DRAWING COPY ( MEDIUM)"
"","Accessories",,"DRAWING INSETS (BEECH WOOD STANDS FOR MONT)"
"Store Dept.","Printing & Stationary","Colours","DRAWING PENCIL SET"
"Store Dept.","Decoration","General","DUPATTA"
"Store Dept.","Dress & Cloth","Clothes","DUPATTA (DIFE)"
"Store Dept.","Dress & Cloth","Clothes","DUPATTA (RED)"
"Store Dept.","Dress & Cloth","Clothes","DUPATTA (YELLOW)"
"","Dress & Cloth",,"DUTHI"
"Store Dept.","Decoration","General","EARTH DIYA (MATI)"
"Maintenance Dept.","Plumbing","CP'S","Elbow  1/2"""
"Maintenance Dept.","Electrical","CP'S","ELBOW (2"")"
"Maintenance Dept.","Electrical","Pipes","Elbow (20MM)"
"Maintenance Dept.","Electrical","Pipes","Elbow (25MM)"
"Maintenance Dept.","Plumbing","CP'S","Elbow 1"""
"Maintenance Dept.","Plumbing","CP'S","Elbow 1.5"""
"","Gift",,"ELECTRIC KETTLE (PRESTIGE)"
"Maintenance Dept.","Electrical","Battery","EMERGENCY BATTERY 6 volt"
"Maintenance Dept.","Electrical","Emergency Light","EMERGENCY LIGHT TABLE"
"Maintenance Dept.","Electrical","Emergency Light","EMERGENCY LIGHT WALL"
"Maintenance Dept.","Electrical","Boxes","ENCLOSER BOX"
"Store Dept.","Printing & Stationary","Admissions","ENVELOP FOR  PROSPECTUS"
"Store Dept.","Accessories","Madhusthali items","ENVELOP FOR APPLICATION FORM (BED)"
"","Gift",,"ERASER"
"Store Dept.","Printing & Stationary","Office Stationeries","ERASER"
"Store Dept.","Printing & Stationary","Office Stationeries","ERASERS"
"Store Dept.","Stationary","Saleable","ERASERS (SALE ITEM)"
"Store Dept.","Printing & Stationary","Examinations","EXAM STRINGS"
"Store Dept.","Printing & Stationary","Office Stationeries","EXAMINATION BOARD"
"Store Dept.","Printing & Stationary","Files & Folders","EXECUTIVE PLASTIC COVER FILES"
"Maintenance Dept.","Electrical","Fans","EXHAUST FAN (10"")"
"Maintenance Dept.","Electrical","Fans","EXHAUST FAN (12"")"
"Maintenance Dept.","Electrical","Fans","EXHAUST FAN (18"")"
"","Electrical",,"EXHAUST FAN (8"")"
"Maintenance Dept.","Electrical","Fans","Exhaust Fan 9"""
"","Electrical",,"EXHAUST FAN(16"")"
"Maintenance Dept.","Electrical","Cables & Wires","EXTENSION CORD"
"Maintenance Dept.","Plumbing","CP'S","EXTENSION PC (CP)"
"Store Dept.","Madhusthali","Madhusthali items","FABER CASTELL OIL (MV)"
"Store Dept.","Stationary","Saleable","FABER CASTLE COLOUR PENCIL"
"Store Dept.","Accessories","General","FACE TISSUES"
"Maintenance Dept.","Electrical","Fans","Fan Canopy"
"","Electrical",,"FAN ROD (1 1/2 )"
"Maintenance Dept.","Electrical","Fans","FAN ROD (2 FT)"
"","Electrical",,"FAN ROD (3 FT)"
"","Gift",,"FANCY BUCKET"
"Store Dept.","Decoration","General","FANCY ITEMS FOR MIRROR (BIPUL SIR)"
"Store Dept.","Printing & Stationary","Classrooms","FANCY ROPE ( ART & CRAFT )"
"Store Dept.","Printing & Stationary","Classrooms","FANCY STRING ( ART & CRAFT )"
"Store Dept.","Decoration","General","FANCY STRING THIN (BIPUL SIR)"
"Store Dept.","Flag and Banner","Houses","FARE WELL (SMALL)"
"Store Dept.","Decoration","General","FATHER"
"","Accessories",,"FEBRIC BOX (FOR MONT)"
"Store Dept.","Printing & Stationary","Colours","FEBRIC COLOUR ( 500ml)"
"","Office Stationery",,"FEBRIC COLOUR (500ml)"
"","Office Stationery",,"FEBRIC COLOUR (SMALL)"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVI - STICK"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVICOL (1 KG)"
"Store Dept.","Stationary","Saleable","FEVICOL (100 GM)"
"Store Dept.","Stationary","Saleable","FEVICOL (100 GM)"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVICOL (22.50 gm)"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVICOL (25GM)"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVICOL (500gm)"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVICOL - (50GM)"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVICOL - 12GM"
"Store Dept.","Printing & Stationary","Colours","FEVICRYL COLOUR"
"Store Dept.","Printing & Stationary","Office Stationeries","FEVIKWIK (SMALL)"
"","Accessories",,"FIRST AID BOX"
"Store Dept.","Stationary","Saleable","FIVE LINE COPY"
"Store Dept.","Stationary","Saleable","FIVELINE COPY"
"Store Dept.","Card and Certificate","General","FLASH CARD"
"Store Dept.","Printing & Stationary","Files & Folders","FLAT FILE (BIG)"
"Store Dept.","Madhusthali","Madhusthali items","FLAT FILE (MV SCHOOL)"
"Store Dept.","Madhusthali","Madhusthali items","FLAX MADHUSTHALI"
"","Electrical",,"FLEXBLE PIPE (1"")"
"Maintenance Dept.","Plumbing","Cistern","Flexible Pipe"
"Maintenance Dept.","Electrical","Pipes","FLEXIBLE PIPE 1/2"""
"Maintenance Dept.","Electrical","Lights","FLOAT LIGHT 100W"
"Maintenance Dept.","Plumbing","Valves","FLOAT VALVE"
"Maintenance Dept.","House Keeping","Cleaning","Floor Mop"
"Maintenance Dept.","House Keeping","Cleaning","FLOOR WIPER( Only cloth)"
"Maintenance Dept.","House Keeping","Cleaning","Floorer Cleaner"
"","Decoration",,"FLOWER"
"Store Dept.","Accessories","General","FLOWER STAND (MEDIUM)"
"Store Dept.","Accessories","General","FLOWER STAND (MEDIUM)"
"Store Dept.","Accessories","General","FLOWER STAND (SMALL)"
"Store Dept.","Accessories","General","FLOWER VASE"
"","Gift",,"FLOWER VASE"
"Store Dept.","Printing & Stationary","Paper","FLOWROCENT PAPER (DIFFERENT)"
"Store Dept.","Madhusthali","Madhusthali items","FLYER (MADHUSTHALI)"
"","Gift",,"FOLDING BAG"
"Store Dept.","Food & Beverage","Staff welfare","FOOD PACKING ROLL (CLING ROLL)"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE 26"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE 28"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE 30"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE 32"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE 36"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE34"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE38"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE40"
"Store Dept.","Uniform","Activity","FOOT BALL DRESS SIZE42"
"Store Dept.","Flag and Banner","General","FOOT BALL FLAG"
"","Flag and Banner",,"FOUNDATION DAY (SMALL)"
"Store Dept.","Flag and Banner","General","FOUNDATION DAY SMALL"
"Store Dept.","Stationary","Saleable","FOUR LINE COPY (NEW- 64 PAGES)"
"Store Dept.","Stationary","Saleable","FOURLINE COPY (32 PAGES)"
"Store Dept.","Flag and Banner","General","FRESHERS WELCOME (SMALL)"
"","Decoration",,"FRIENDSHIP BAND"
"","Gift",,"FRUIT BOWL (HI LUXE - JAPAN)"
"Store Dept.","Food & Beverage","Staff welfare","FRUIT DRINK"
"Store Dept.","Gift","General","FRY PAN"
"Store Dept.","Accessories","General","FYVER PLATE (SMALL)"
"Maintenance Dept.","Plumbing","Pipes","G I pipe 1/2 """
"Maintenance Dept.","Plumbing","Pipes","G I Pipe 3/4'"
"Store Dept.","Printing & Stationary","Examinations","GALA"
"Store Dept.","Printing & Stationary","Examinations","GALA NEW (WAX)"
"Store Dept.","Gift","General","GANESH JI"
"Store Dept.","Decoration","General","GANESH JI SILK CLOTH"
"Store Dept.","Maintenance","Locks","GATE LOCK BIG"
"Store Dept.","Madhusthali","Madhusthali items","GATE PASS (COLLEGE)"
"Store Dept.","Madhusthali","Madhusthali items","GATE PASS - DAY SCHOLARS"
"Store Dept.","Madhusthali","Madhusthali items","GATE PASS - GROUP 'D' STAFF"
"Store Dept.","Madhusthali","Madhusthali items","GATE PASS - RESIDENTIAL SCHOLARS"
"Store Dept.","Madhusthali","Madhusthali items","GATE PASS - STAFF MEMBERS"
"Maintenance Dept.","Plumbing","Cistern","GATE VALVE"
"Store Dept.","Printing & Stationary","Pens","GEL PEN (BLACK)"
"Store Dept.","Printing & Stationary","Pens","GEL PEN (BLUE)"
"Store Dept.","Printing & Stationary","Pens","GEL PEN (RED)"
"Store Dept.","Printing & Stationary","Pens","GEL PEN REFFIL (BLACK)"
"Store Dept.","Printing & Stationary","Pens","GEL PEN REFFIL (BLUE)"
"Store Dept.","Printing & Stationary","Pens","GEL PEN REFFIL (RED)"
"Store Dept.","Printing & Stationary","Pens","GEL PEN WITH MCKV (BLUE)"
"Store Dept.","Printing & Stationary","Pins & Clips","GEM CLIPS (COLOUR)"
"Store Dept.","Office Stationery","Pins & Clips","GEM CLIPS (PLAIN)"
"","Accessories",,"GEO FORM CARDS LAMINATE WITH CABINATE (FOR MONT)"
"","Accessories",,"GEO SOLIDS AND CARDS IN BOX (FOR MONT)"
"Store Dept.","Printing & Stationary","Office Stationeries","GEOMETRY BOX"
"","Gift",,"GIFT"
"","Gift",,"GIFT (SOOGA JAPAN PLATE SMALL TWO PCS)"
"Store Dept.","Gift","General","GLASS BOWL (Big)"
"Store Dept.","Printing & Stationary","Colours","GLASS COLOUR"
"Store Dept.","Accessories","General","GLASS LOCK"
"Store Dept.","Gift","General","GLASS SET"
"Store Dept.","Printing & Stationary","Classrooms","GLASS SMALL FOR  ( ART & CRAFT )"
"","Office Stationery",,"GLITER TUBE"
"Store Dept.","Printing & Stationary","Colours","GLITTER DUST BIG (DIFFERENT)"
"Store Dept.","Printing & Stationary","Pens","GLITTER GEL PEN"
"Store Dept.","Food & Beverage","Staff welfare","GLUCON - D"
"Store Dept.","Food & Beverage","Staff welfare","GLUCON- D"
"Store Dept.","Maintenance","Locks","GODREJ LOCK (BIG)"
"Store Dept.","Maintenance","Locks","GODREJ LOCK (SMALL)"
"Store Dept.","Accessories","General","GOLDEN BOWL"
"Store Dept.","Printing & Stationary","Paper","GOLDEN PAPER"
"Store Dept.","Decoration","General","GOLDEN STARS"
"Store Dept.","Printing & Stationary","Colours","GOLDEN YELLOW"
"Maintenance Dept.","Electrical","Bells","GONG BELL"
"Store Dept.","Accessories","General","GOOD KNIGHT OIL"
"Store Dept.","Decoration","General","GOOGLY EYES"
"Store Dept.","Stationary","Saleable","GRAPH COPY"
"Store Dept.","Printing & Stationary","Paper","GRAPH PAPER"
"Store Dept.","Madhusthali","Madhusthali items","GREEN CLOTH ENVELOP (M.V. COLLEGE)"
"Store Dept.","Printing & Stationary","Office Stationeries","GREEN ENVELOPE (BIG)"
"Store Dept.","Stationary","Saleable","GREEN FILE"
"Store Dept.","Stationary","Saleable","GREEN FILE (SMALL)"
"","File and Folder",,"GREEN FILES"
"Store Dept.","Madhusthali","Madhusthali items","GREEN FLAT FILE STUDENT (M.V. COLLEGE)"
"Store Dept.","Printing & Stationary","Files & Folders","GREEN FLAT FILES"
"Store Dept.","Flag and Banner","Houses","GREEN HOUSE FLAG (BIG)"
"Store Dept.","Flag and Banner","Houses","GREEN HOUSE FLAG (SMALL)"
"Store Dept.","Printing & Stationary","Office Stationeries","GREEN PAGE (SMALL)"
"","Card and Certificate",,"GREETING CARD (PLAIN)"
"Store Dept.","Uniform","Karate","GROING GARD"
"Store Dept.","Decoration","General","GUGLI EYES"
"Store Dept.","Decoration","General","GUGLI EYES"
"Store Dept.","Printing & Stationary","Office Stationeries","GUM BOTTLE (BIG)"
"Store Dept.","Printing & Stationary","Office Stationeries","GUM BOTTLE (SMALL)"
"Maintenance Dept.","Electrical","Hallogens","HALLOZEN FITTINGS"
"Maintenance Dept.","Electrical","Hallogens","Hallozen Holder"
"Maintenance Dept.","Electrical","Hallogens","HALLOZEN LAMP (500 W)"
"Maintenance Dept.","Electrical","Hallogens","Hallozen Lamp 300 wt"
"Store Dept.","Decoration","General","HAND FAN"
"Store Dept.","Accessories","General","HAND GLOVS"
"Maintenance Dept.","House Keeping","Cleaning","Hand Scrubber"
"Store Dept.","Printing & Stationary","Paper","HANDMADE PAPER (DIFFERENT)"
"Maintenance Dept.","House Keeping","Cleaning","HANDWASH(NORMAL)"
"Maintenance Dept.","House Keeping","Cleaning","HARPIC"
"Maintenance Dept.","House Keeping","Cleaning","HARPIC FLUSHMATIC"
"Store Dept.","Dress & Cloth","Caps","HAT BLACK (SPORTS)"
"Store Dept.","Accessories","General","HAVAN KUND"
"Store Dept.","Accessories","General","HEAD CAP"
"Store Dept.","Uniform","Karate","HEAD GARD"
"Store Dept.","Printing & Stationary","Office Stationeries","HEALTH RECORD CARD"
"Store Dept.","Printing & Stationary","Pens","HIGHLIGHTERS MARKER (GREEN)"
"Store Dept.","Printing & Stationary","Pens","HIGHLIGHTERS MARKER (PINK)"
"Store Dept.","Printing & Stationary","Pens","HIGHLIGHTERS MARKER (YELLOW)"
"Store Dept.","Madhusthali","Madhusthali items","HINDI BILL FOR MADHUSTHALI"
"Maintenance Dept.","House Keeping","Cleaning","HIT (BLACK)"
"Maintenance Dept.","House Keeping","Cleaning","HIT (RED)"
"Maintenance Dept.","House Keeping","Cleaning","HOCKEY BRUSH"
"","Electrical",,"HOLDER PL"
"Maintenance Dept.","Electrical","Lamp","Holder PL 36W"
"Store Dept.","Decoration","General","HOLLY LEAVES WITH CHERRY"
"Store Dept.","Printing & Stationary","Office Stationeries","HOLOGRAM STICKER"
"","Decoration",,"HOOK"
"","Decoration",,"HOOK  (ART & CRAFT ROOM)"
"Store Dept.","Gift","General","HOT & COLD BEVERAGE"
"Store Dept.","Gift","General","HOT CASE"
"Store Dept.","Gift","General","HOT POT (PENASONIC)"
"","Badges",,"HOUSE BADGE"
"Store Dept.","Flag and Banner","Houses","HOUSE BANNER (NEW)"
"","Accessories",,"HUMPTY DUMPTY"
"Store Dept.","Accessories","General","ICE BOX"
"Store Dept.","Decoration","General","ICE CREAM STICK"
"Store Dept.","Accessories","General","ICE TRAY"
"Store Dept.","Madhusthali","Madhusthali items","ID CARD BELT (BLUE)"
"Store Dept.","Printing & Stationary","Office Stationeries","ID CARD BELT (GREEN) FOR STAFF"
"Store Dept.","Printing & Stationary","Office Stationeries","ID CARD BELT BLUE FOR STAFF"
"Store Dept.","Printing & Stationary","Pins & Clips","ID CARD CLIP"
"Store Dept.","Madhusthali","Madhusthali items","ID CARD HOLDER (BLACK)"
"Store Dept.","Printing & Stationary","Office Stationeries","ID CARD POUCH"
"Store Dept.","Flag and Banner","General","INDEPENDENCE DAY (SMALL)"
"Store Dept.","Printing & Stationary","Paper","INDEX PAPER"
"Store Dept.","Printing & Stationary","Office Stationeries","INDEX REGISTER"
"Store Dept.","Gift","General","INDUCTION COOKWARE (3 PCS) ROXX"
"Store Dept.","Printing & Stationary","Office Stationeries","INTELLIGENCE SCALE FOR INDIAN CHILDREN."
"Store Dept.","Printing & Stationary","Office Stationeries","INTER OFFICE MEMO"
"Store Dept.","Badges","Interact Club","INTERACT CLUB (BADGE)"
"Store Dept.","Badges","Interact Club","INTERACT CLUB BADGE WITH STUDENT NAME"
"Store Dept.","Badges","Interact Club","INTERACT CLUB WITH NAME"
"Store Dept.","Stationary","Saleable","INTERLEAF COPY (32 PAGES)"
"Store Dept.","Stationary","Saleable","INTERLEAF COPY (NEW- 64 PAGES)"
"Store Dept.","Stationary","Saleable","INTERLEAF FOUR LINE (32 PAGES)"
"","Madhusthali",,"INTEROFFICE MEMO (MV COLLEGE)"
"Store Dept.","Madhusthali","Madhusthali items","INTEROFFICE MEMO (MV SCHOOL)"
"Store Dept.","Card and Certificate","General","INVITATION CARD FOR ART EXHIBITION"
"Store Dept.","Gift","General","IRON"
"Maintenance Dept.","Electrical","General","Isolator 100amp"
"Store Dept.","Dress & Cloth","Jackets","JACKET"
"Store Dept.","Dress & Cloth","Jackets","JACKET (HOUSE ON DUTY)"
"Store Dept.","Dress & Cloth","Jackets","JACKET - NO HORN"
"Store Dept.","Printing & Stationary","Files & Folders","JACKET FOLDER"
"Store Dept.","Stationary","Saleable","JACKET FOLDER"
"Store Dept.","Dress & Cloth","Jackets","JACKET MCKV NEW"
"Store Dept.","Stationary","Saleable","JADU PASTE"
"Store Dept.","Decoration","General","JANMASTAMI DECORATION ITEMS"
"Store Dept.","Decoration","General","JHULON DECORATION ITEMS"
"Store Dept.","Decoration","General","JHURI"
"Store Dept.","Printing & Stationary","Office Stationeries","JOB APPLICATION FORM"
"Store Dept.","Decoration","General","JOY STICK (25TH DECEMBER)"
"","Gift",,"JUG STEEL (VIP FOR GIFT)"
"Store Dept.","Stationary","Saleable","JUMBO PALATE"
"Store Dept.","Bag","General","JUMBO POLY PACKET BLACK"
"","Accessories",,"JUNIOR BOWLING ALLEY"
"Store Dept.","Printing & Stationary","Examinations","JUNIOR SEC. ANS. SHEET PAPER (MCKV)"
"Maintenance Dept.","Plumbing","Jute","Jute"
"","Accessories",,"JUTE BAG"
"Store Dept.","Bag","General","JUTE BAG"
"Store Dept.","Bag","General","JUTE BAG (RECEIVED FROM K.K.SIR)"
"Store Dept.","Printing & Stationary","Files & Folders","JUTE FOLDER (MCKV)"
"","Decoration",,"JUTE MAT"
"Store Dept.","Accessories","General","JUTE THIN ROPE"
"","Decoration",,"JUTE THIN ROPE"
"Maintenance Dept.","House Keeping","Cleaning","JUTES"
"Store Dept.","Stationary","Saleable","K.G. GREEN BAG"
"Store Dept.","Gift","General","KADAI"
"","Decoration",,"KADAM PHOOL"
"Store Dept.","Uniform","Activity","KARATE DRESS"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 26"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 28"
"","Accessories",,"KARATE DRESS SIZE 30"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 30"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 30"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 32"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 34"
"","Accessories",,"KARATE DRESS SIZE 36"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 36"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 36"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 38"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 40"
"Store Dept.","Uniform","Activity","KARATE DRESS SIZE 42"
"Store Dept.","Uniform","Activity","KARATE KIT GUARD"
"Store Dept.","Flag and Banner","Houses","KEJRIWAL WELCOME BANNER (PODIUM)"
"Store Dept.","Maintenance","Locks","KEY RING"
"Store Dept.","Gift","General","KEY RING"
"Store Dept.","Maintenance","Locks","KEY RING WITHOUT NAME"
"Store Dept.","Card and Certificate","Reports Cards","KG.REPORT CARD"
"Store Dept.","Gift","General","KICHEN APRON"
"Store Dept.","Uniform","Karate","KICK PAD"
"Store Dept.","Gift","General","KISWOK PEN STAND WITH CLOCK"
"Store Dept.","Decoration","General","KITES"
"Store Dept.","Accessories","General","KNIFE"
"","Decoration",,"KUSAN (PLAY JUNCTION)"
"Store Dept.","Stationary","Saleable","LABELS"
"Maintenance Dept.","Plumbing","Cocks","Labrotory Cock"
"Store Dept.","Gift","General","Ladies Parce"
"Store Dept.","Printing & Stationary","Office Stationeries","LAMINATION SHEET"
"Maintenance Dept.","Electrical","Lights","Lamp"
"","STAMP",,"LATE ARIVAL (STAMP)"
"","STAMP",,"LATE FOR  ASSEMBLY (STAMP)"
"Store Dept.","Madhusthali","Madhusthali items","LEAF LEAT (MV COLLGE)"
"Store Dept.","Madhusthali","Madhusthali items","LEAFLET (2017 - 2018)"
"Store Dept.","Madhusthali","Madhusthali items","LEAFLET (MITT)"
"Store Dept.","Madhusthali","Madhusthali items","LEAFLET M.V. (2015-2016)"
"Store Dept.","Gift","General","LEATHER PEN STAND SET"
